危险因子	疾病	 OR 	references
婚育=不育	卵巢癌	3.9	冯丹,刘佳丽,许崇安 .卵巢癌危险因素的 Meta 分析[J].中华肿瘤防治杂志.2010,11(17):1805-1807
BMI=[40,99) and 性别=男	肾癌	3.7	宫再兴, 王共先, 刘伟鹏, et al. 肾细胞癌中的环境因素和可调控危险因素的研究进展[J]. 实用医学杂志, 2014(5):834-837.
家族史.癌症=卵巢癌	卵巢癌	3.59	冯丹,刘佳丽,许崇安 .卵巢癌危险因素的 Meta 分析[J].中华肿瘤防治杂志.2010,11(17):1805-1807
家族史.癌症=卵巢癌	卵巢癌	3.59	冯丹,刘佳丽,许崇安 .卵巢癌危险因素的 Meta 分析[J].中华肿瘤防治杂志.2010,11(17):1805-1807
家族史.癌症=卵巢癌	卵巢癌	3.59	冯丹,刘佳丽,许崇安 .卵巢癌危险因素的 Meta 分析[J].中华肿瘤防治杂志.2010,11(17):1805-1807
家族史.癌症=卵巢癌	卵巢癌	3.59	冯丹,刘佳丽,许崇安 .卵巢癌危险因素的 Meta 分析[J].中华肿瘤防治杂志.2010,11(17):1805-1807
家族史.癌症=卵巢癌	卵巢癌	3.59	冯丹,刘佳丽,许崇安 .卵巢癌危险因素的 Meta 分析[J].中华肿瘤防治杂志.2010,11(17):1805-1807
疾病史.男科=前列腺增生	前列腺癌	3.53	赵钰, 张强, 于静. 我国前列腺癌部分危险因素的Meta分析[J]. 现代预防医学, 2010, 37(4):617-619.
饮食.物理特征=常吃干硬食物	食管癌	3.5	谭淼, 熊文婧, 朱宗玉, et al. 中国人群食管癌发病影响因素的系统综述和Meta分析[J]. 现代预防医学, 2014, 41(23):4310-4316.
疾病史.心脑血管=高血压	冠心病	3.4	冉进军, 姜媛, 刘巧兰, 韩乐飞, & 齐鸿超. (2014). 冠心病危险因素的meta分析. 西部医学, 26(12), 1629-1632.
症状.情绪=脾气暴躁	甲状腺癌	3.31	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
环境=居住在城市	糖尿病	3.2	Prevalence and Control of Diabetes in Chinese Adults
肝癌家族史	肝癌	 3.2 	曾运红,谭卫仙.原发性肝癌发病主要危险因素的Meta分析[J].现代预防医学,2004(31):172-174
家族史.癌症=肝癌	肝癌	 3.2 	曾运红,谭卫仙.原发性肝癌发病主要危险因素的Meta分析[J].现代预防医学,2004(31):172-174
家族史.癌症=肝癌	肝癌	 3.2 	曾运红,谭卫仙.原发性肝癌发病主要危险因素的Meta分析[J].现代预防医学,2004(31):172-174
家族史.癌症=肝癌	肝癌	 3.2 	曾运红,谭卫仙.原发性肝癌发病主要危险因素的Meta分析[J].现代预防医学,2004(31):172-174
家族史.癌症=肝癌	肝癌	 3.2 	曾运红,谭卫仙.原发性肝癌发病主要危险因素的Meta分析[J].现代预防医学,2004(31):172-174
家族史.癌症=肝癌	肝癌	 3.2 	曾运红,谭卫仙.原发性肝癌发病主要危险因素的Meta分析[J].现代预防医学,2004(31):172-174
家族史.癌症=鼻咽癌	鼻咽癌	3.12	李爱东, 邰隽, 黄育北, et al. 中国人群肿瘤家族史与鼻咽癌关系Meta分析[J]. 中华肿瘤防治杂志, 2015, 22(7):555-560.
家族史.癌症=鼻咽癌	鼻咽癌	3.12	李爱东, 邰隽, 黄育北, et al. 中国人群肿瘤家族史与鼻咽癌关系Meta分析[J]. 中华肿瘤防治杂志, 2015, 22(7):555-560.
家族史.癌症=鼻咽癌	鼻咽癌	3.12	李爱东, 邰隽, 黄育北, et al. 中国人群肿瘤家族史与鼻咽癌关系Meta分析[J]. 中华肿瘤防治杂志, 2015, 22(7):555-560.
家族史.癌症=鼻咽癌	鼻咽癌	3.12	李爱东, 邰隽, 黄育北, et al. 中国人群肿瘤家族史与鼻咽癌关系Meta分析[J]. 中华肿瘤防治杂志, 2015, 22(7):555-560.
家族史.癌症=鼻咽癌	鼻咽癌	3.12	李爱东, 邰隽, 黄育北, et al. 中国人群肿瘤家族史与鼻咽癌关系Meta分析[J]. 中华肿瘤防治杂志, 2015, 22(7):555-560.
家族史.癌症=鼻咽癌	鼻咽癌	3.12	李爱东, 邰隽, 黄育北, et al. 中国人群肿瘤家族史与鼻咽癌关系Meta分析[J]. 中华肿瘤防治杂志, 2015, 22(7):555-560.
BMI=[35,99) and 性别=男	痛风	2.97	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
疾病史.消化系统=慢性胃炎 and 性别=男	胃癌	2.97	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
疾病史.消化系统=胃溃疡 and 性别=男	胃癌	2.97	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
家族史.旁系.癌症=癌症	肠癌	2.91	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.物理特征=常吃烫食	食管癌	2.91	谭淼, 熊文婧, 朱宗玉, et al. 中国人群食管癌发病影响因素的系统综述和Meta分析[J]. 现代预防医学, 2014, 41(23):4310-4316.
BMI=[35,99) and 性别=男	痛风	2.9	邵继红、沈洪兵、莫宝庆、徐耀初.社区人群痛风危险因素的病例对照研究[J].徐州医学院学报2003,23(6):503
疾病史.其他=高尿酸血症	慢性肾病	2.9	张晓光、汪年松.慢性肾脏病危险因素的研究进展[J].实用医学杂志2007,23(23):3641
饮食.酒精=大于0.1g	胃癌	2.9	贺圣文, 赵仁宏, 王春平, & 秦浩. (2010). 胃癌危险因素的meta分析. 中国卫生统计, 27(2), 146-148.
疾病史.心脑血管=高血脂	痛风	2.85	邵继红、沈洪兵、莫宝庆、徐耀初.社区人群痛风危险因素的病例对照研究[J].徐州医学院学报2003,23(6):504
疾病史.精神或神经系统=精神创伤	乳腺癌	2.83	郑艳敏, 沈月平, 刘银梅, et al. 中国女性乳腺癌危险因素Meta分析[J]. 中国公共卫生, 2012, 28(12):1645-1648.
吸烟.量=吸烟	肺癌	 2.8 	王文雷,付莉,崔亚玲,陆维权.中国人群肺癌发病危险因素的Meta分析[J].现代预防医学,2008(22):4336-4338.
疾病史.内分泌系统=糖尿病 and 性别=男	肾癌	2.76	于路平, 张春芳, 郝一昌, et al. 代谢相关因素与肾癌发病风险的相关性研究[J]. 中华泌尿外科杂志, 2013, 34(3):179-183.
疾病史.消化系统=结直肠腺瘤性息肉	肠癌	2.76	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
家族史.癌症=乳腺癌	乳腺癌	2.76	王媛. 中国女性肿瘤家族史与乳腺癌发病风险关系的meta分析[J]. 中国妇幼保健(07).
家族史.癌症=乳腺癌	乳腺癌	2.76	王媛. 中国女性肿瘤家族史与乳腺癌发病风险关系的meta分析[J]. 中国妇幼保健(07).
家族史.癌症=乳腺癌	乳腺癌	2.76	王媛. 中国女性肿瘤家族史与乳腺癌发病风险关系的meta分析[J]. 中国妇幼保健(07).
家族史.癌症=乳腺癌	乳腺癌	2.76	王媛. 中国女性肿瘤家族史与乳腺癌发病风险关系的meta分析[J]. 中国妇幼保健(07).
家族史.癌症=乳腺癌	乳腺癌	2.76	王媛. 中国女性肿瘤家族史与乳腺癌发病风险关系的meta分析[J]. 中国妇幼保健(07).
家族史.癌症=乳腺癌	乳腺癌	2.76	王媛. 中国女性肿瘤家族史与乳腺癌发病风险关系的meta分析[J]. 中国妇幼保健(07).
疾病史.心脑血管=高血压	肾癌	2.75	于路平, 张春芳, 郝一昌, et al. 代谢相关因素与肾癌发病风险的相关性研究[J]. 中华泌尿外科杂志, 2013, 34(3):179-183.
家族史.其他=痛风	痛风	2.72	邵继红、沈洪兵、莫宝庆、徐耀初.社区人群痛风危险因素的病例对照研究[J].徐州医学院学报2003,23(6):504
疾病史.妇科=痛经	卵巢癌	2.67	冯丹,刘佳丽,许崇安 .卵巢癌危险因素的 Meta 分析[J].中华肿瘤防治杂志.2010,11(17):1805-1807
吸烟.量=二手烟（每周15分钟以上）	宫颈癌	2.64	周权, 黄民主, 黄霜, et al. 中国已婚妇女宫颈癌发病影响因素Meta分析[J]. 中国癌症杂志, 2011, 21(2):125-129.
环境=油烟	肺癌	 2.6 	王文雷,付莉,崔亚玲,陆维权.中国人群肺癌发病危险因素的Meta分析[J].现代预防医学,2008(22):4336-4338.
家族史.癌症=癌症	鼻咽癌	2.63	李爱东, 邰隽, 黄育北, et al. 中国人群肿瘤家族史与鼻咽癌关系Meta分析[J]. 中华肿瘤防治杂志, 2015, 22(7):555-560.
BMI=[35,99) and 性别=男	甲状腺癌	2.62	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
疾病史.精神或神经系统=精神病	肠癌	2.61	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
疾病史.呼吸系统=肺结核	肺癌	 2.6 	王文雷,付莉,崔亚玲,陆维权.中国人群肺癌发病危险因素的Meta分析[J].现代预防医学,2008(22):4336-4338.
症状.情绪=压力大、焦虑	甲状腺癌	2.6	陈芳,吴凯,徐明星,杨燕.基于病例对照研究的甲状腺癌危险因素[J].中华地方病学杂志,36(4):250-256
家族史.内分泌系统=糖尿病	糖尿病	2.59	Prevalence and Control of Diabetes in Chinese Adults
BMI=[0,21)	慢阻肺	2.58	(2015). 中国大陆人群慢性阻塞性肺疾病发病危险因素的meta分析. 重庆医学, 44(12), 1655-1657.
家族史.癌症=前列腺癌	前列腺癌	2.58	朱磊一, 翁博文, 贾勇, et al. 青岛市区前列腺癌与家族史、婚育史关系的病例对照研究[J]. 现代泌尿外科杂志, 2013, 18(2):178-180.
疾病史.妇科=慢性宫颈炎	宫颈癌	2.57	吕行, 犹忆, 关思宇,等. 宫颈癌危险因素的Meta分析[J]. 现代预防医学, 2011, 38(22):4596-4598.
疾病史.心脑血管=高血压	慢性肾病	2.57	张晓光、汪年松.慢性肾脏病危险因素的研究进展[J].实用医学杂志2007,23(23):3641
饮食.其他=常吃烧烤	肠癌	2.55	邵红梅,冯瑞,朱红,谢娟.中国人群结直肠癌危险因素的Meta分析[J].中国慢性病预防与控制,2014,22(02):174-177.
饮食.酒精=大于0.1g	膀胱癌	2.53	韩瑞发, 潘建刚. 中国人群膀胱癌发病危险因素的Meta分析[J]. 中华泌尿外科杂志, 2006, 27(4):243-246.
饮食.酒精=大于50g	痛风	2.53	路杰, 崔凌凌, 李长贵. 原发性痛风流行病学研究进展[J]. 中华内科杂志, 2015, 54(3):244-247.
